--- Starting ULTRA 3D Segmentation Training on cuda ---
✅ VRAM Optimization: TF32 Enabled
✅ Batch Size: 4
✅ Filters: [32, 64, 128, 256, 512]
--- Full Volume Augmentation Loader (Train) ---
Target Size: (256, 256, 256)
Epoch 1 | Segmentation Dice Loss: 0.8211
Epoch 2 | Segmentation Dice Loss: 0.7915
Epoch 3 | Segmentation Dice Loss: 0.7777
Epoch 4 | Segmentation Dice Loss: 0.7683
Epoch 5 | Segmentation Dice Loss: 0.7659
Epoch 6 | Segmentation Dice Loss: 0.7598
Epoch 7 | Segmentation Dice Loss: 0.7568
Epoch 8 | Segmentation Dice Loss: 0.7540
Epoch 9 | Segmentation Dice Loss: 0.7505
Epoch 10 | Segmentation Dice Loss: 0.7490
   -> Checkpoint Saved
Epoch 11 | Segmentation Dice Loss: 0.7448
Epoch 12 | Segmentation Dice Loss: 0.7403
Epoch 13 | Segmentation Dice Loss: 0.7384
Epoch 14 | Segmentation Dice Loss: 0.7350
Epoch 15 | Segmentation Dice Loss: 0.7312
Epoch 16 | Segmentation Dice Loss: 0.7293
Epoch 17 | Segmentation Dice Loss: 0.7280
Epoch 18 | Segmentation Dice Loss: 0.7269
Epoch 19 | Segmentation Dice Loss: 0.7237
Epoch 20 | Segmentation Dice Loss: 0.7220
   -> Checkpoint Saved
Epoch 21 | Segmentation Dice Loss: 0.7181
Epoch 22 | Segmentation Dice Loss: 0.7167
Epoch 23 | Segmentation Dice Loss: 0.7130
Epoch 24 | Segmentation Dice Loss: 0.7123
Epoch 25 | Segmentation Dice Loss: 0.7094
Epoch 26 | Segmentation Dice Loss: 0.7071
Epoch 27 | Segmentation Dice Loss: 0.7068
Epoch 28 | Segmentation Dice Loss: 0.7036
Epoch 29 | Segmentation Dice Loss: 0.7026
Epoch 30 | Segmentation Dice Loss: 0.7006
   -> Checkpoint Saved
Epoch 31 | Segmentation Dice Loss: 0.7018
Epoch 32 | Segmentation Dice Loss: 0.6985
Epoch 33 | Segmentation Dice Loss: 0.6958
Epoch 34 | Segmentation Dice Loss: 0.6957
Epoch 35 | Segmentation Dice Loss: 0.6952
Epoch 36 | Segmentation Dice Loss: 0.6947
Epoch 37 | Segmentation Dice Loss: 0.6925
Epoch 38 | Segmentation Dice Loss: 0.6926
Epoch 39 | Segmentation Dice Loss: 0.6895
Epoch 40 | Segmentation Dice Loss: 0.6900
   -> Checkpoint Saved
Epoch 41 | Segmentation Dice Loss: 0.6865
Epoch 42 | Segmentation Dice Loss: 0.6860
Epoch 43 | Segmentation Dice Loss: 0.6843
Epoch 44 | Segmentation Dice Loss: 0.6822
Epoch 45 | Segmentation Dice Loss: 0.6819
Epoch 46 | Segmentation Dice Loss: 0.6811
Epoch 47 | Segmentation Dice Loss: 0.6806
Epoch 48 | Segmentation Dice Loss: 0.6796
Epoch 49 | Segmentation Dice Loss: 0.6779
Epoch 50 | Segmentation Dice Loss: 0.6767
   -> Checkpoint Saved
Epoch 51 | Segmentation Dice Loss: 0.6777
Epoch 52 | Segmentation Dice Loss: 0.6764
Epoch 53 | Segmentation Dice Loss: 0.6764
Epoch 54 | Segmentation Dice Loss: 0.6733
Epoch 55 | Segmentation Dice Loss: 0.6741
Epoch 56 | Segmentation Dice Loss: 0.6716
Epoch 57 | Segmentation Dice Loss: 0.6705
Epoch 58 | Segmentation Dice Loss: 0.6686
Epoch 59 | Segmentation Dice Loss: 0.6680
Epoch 60 | Segmentation Dice Loss: 0.6670
   -> Checkpoint Saved
Epoch 61 | Segmentation Dice Loss: 0.6687
Epoch 62 | Segmentation Dice Loss: 0.6659
Epoch 63 | Segmentation Dice Loss: 0.6645
Epoch 64 | Segmentation Dice Loss: 0.6640
Epoch 65 | Segmentation Dice Loss: 0.6628
Epoch 66 | Segmentation Dice Loss: 0.6625
Epoch 67 | Segmentation Dice Loss: 0.6619
Epoch 68 | Segmentation Dice Loss: 0.6618
Epoch 69 | Segmentation Dice Loss: 0.6596
Epoch 70 | Segmentation Dice Loss: 0.6598
   -> Checkpoint Saved
Epoch 71 | Segmentation Dice Loss: 0.6602
Epoch 72 | Segmentation Dice Loss: 0.6590
Epoch 73 | Segmentation Dice Loss: 0.6583
Epoch 74 | Segmentation Dice Loss: 0.6573
Epoch 75 | Segmentation Dice Loss: 0.6558
Epoch 76 | Segmentation Dice Loss: 0.6533
Epoch 77 | Segmentation Dice Loss: 0.6534
Epoch 78 | Segmentation Dice Loss: 0.6575
Epoch 79 | Segmentation Dice Loss: 0.6521
Epoch 80 | Segmentation Dice Loss: 0.6526
   -> Checkpoint Saved
Epoch 81 | Segmentation Dice Loss: 0.6536
Epoch 82 | Segmentation Dice Loss: 0.6515
Epoch 83 | Segmentation Dice Loss: 0.6501
Epoch 84 | Segmentation Dice Loss: 0.6509
Epoch 85 | Segmentation Dice Loss: 0.6494
Epoch 86 | Segmentation Dice Loss: 0.6481
Epoch 87 | Segmentation Dice Loss: 0.6474
Epoch 88 | Segmentation Dice Loss: 0.6467
Epoch 89 | Segmentation Dice Loss: 0.6474
Epoch 90 | Segmentation Dice Loss: 0.6463
   -> Checkpoint Saved
Epoch 91 | Segmentation Dice Loss: 0.6454
Epoch 92 | Segmentation Dice Loss: 0.6432
Epoch 93 | Segmentation Dice Loss: 0.6435
Epoch 94 | Segmentation Dice Loss: 0.6437
Epoch 95 | Segmentation Dice Loss: 0.6409
Epoch 96 | Segmentation Dice Loss: 0.6411
Epoch 97 | Segmentation Dice Loss: 0.6428
Epoch 98 | Segmentation Dice Loss: 0.6386
Epoch 99 | Segmentation Dice Loss: 0.6384
Epoch 100 | Segmentation Dice Loss: 0.6388
   -> Checkpoint Saved
Epoch 101 | Segmentation Dice Loss: 0.6383
Epoch 102 | Segmentation Dice Loss: 0.6362
Epoch 103 | Segmentation Dice Loss: 0.6367
Epoch 104 | Segmentation Dice Loss: 0.6355
Epoch 105 | Segmentation Dice Loss: 0.6347
Epoch 106 | Segmentation Dice Loss: 0.6325
Epoch 107 | Segmentation Dice Loss: 0.6340
Epoch 108 | Segmentation Dice Loss: 0.6311
Epoch 109 | Segmentation Dice Loss: 0.6317
Epoch 110 | Segmentation Dice Loss: 0.6310
   -> Checkpoint Saved
Epoch 111 | Segmentation Dice Loss: 0.6291
Epoch 112 | Segmentation Dice Loss: 0.6299
Epoch 113 | Segmentation Dice Loss: 0.6279
Epoch 114 | Segmentation Dice Loss: 0.6286
Epoch 115 | Segmentation Dice Loss: 0.6254
Epoch 116 | Segmentation Dice Loss: 0.6255
Epoch 117 | Segmentation Dice Loss: 0.6261
Epoch 118 | Segmentation Dice Loss: 0.6285
Epoch 119 | Segmentation Dice Loss: 0.6245
Epoch 120 | Segmentation Dice Loss: 0.6254
   -> Checkpoint Saved
Epoch 121 | Segmentation Dice Loss: 0.6244
Epoch 122 | Segmentation Dice Loss: 0.6235
Epoch 123 | Segmentation Dice Loss: 0.6224
Epoch 124 | Segmentation Dice Loss: 0.6204
Epoch 125 | Segmentation Dice Loss: 0.6205
Epoch 126 | Segmentation Dice Loss: 0.6190
Epoch 127 | Segmentation Dice Loss: 0.6178
Epoch 128 | Segmentation Dice Loss: 0.6183
Epoch 129 | Segmentation Dice Loss: 0.6162
Epoch 130 | Segmentation Dice Loss: 0.6158
   -> Checkpoint Saved
Epoch 131 | Segmentation Dice Loss: 0.6143
Epoch 132 | Segmentation Dice Loss: 0.6114
Epoch 133 | Segmentation Dice Loss: 0.6149
Epoch 134 | Segmentation Dice Loss: 0.6124
Epoch 135 | Segmentation Dice Loss: 0.6145
Epoch 136 | Segmentation Dice Loss: 0.6152
Epoch 137 | Segmentation Dice Loss: 0.6156
Epoch 138 | Segmentation Dice Loss: 0.6146
Epoch 139 | Segmentation Dice Loss: 0.6142
Epoch 140 | Segmentation Dice Loss: 0.6125
   -> Checkpoint Saved
Epoch 141 | Segmentation Dice Loss: 0.6108
Epoch 142 | Segmentation Dice Loss: 0.6094
Epoch 143 | Segmentation Dice Loss: 0.6066
Epoch 144 | Segmentation Dice Loss: 0.6047
Epoch 145 | Segmentation Dice Loss: 0.6095
Epoch 146 | Segmentation Dice Loss: 0.6069
Epoch 147 | Segmentation Dice Loss: 0.6077
Epoch 148 | Segmentation Dice Loss: 0.6070
Epoch 149 | Segmentation Dice Loss: 0.6058
Epoch 150 | Segmentation Dice Loss: 0.6051
   -> Checkpoint Saved
Epoch 151 | Segmentation Dice Loss: 0.6070
Epoch 152 | Segmentation Dice Loss: 0.6029
Epoch 153 | Segmentation Dice Loss: 0.6006
Epoch 154 | Segmentation Dice Loss: 0.6008
Epoch 155 | Segmentation Dice Loss: 0.5978
Epoch 156 | Segmentation Dice Loss: 0.5966
Epoch 157 | Segmentation Dice Loss: 0.5962
Epoch 158 | Segmentation Dice Loss: 0.5942
Epoch 159 | Segmentation Dice Loss: 0.5943
Epoch 160 | Segmentation Dice Loss: 0.5916
   -> Checkpoint Saved
Epoch 161 | Segmentation Dice Loss: 0.5898
Epoch 162 | Segmentation Dice Loss: 0.5917
Epoch 163 | Segmentation Dice Loss: 0.5902
Epoch 164 | Segmentation Dice Loss: 0.5896
Epoch 165 | Segmentation Dice Loss: 0.5884
Epoch 166 | Segmentation Dice Loss: 0.5853
Epoch 167 | Segmentation Dice Loss: 0.5838
Epoch 168 | Segmentation Dice Loss: 0.5837
Epoch 169 | Segmentation Dice Loss: 0.5810
Epoch 170 | Segmentation Dice Loss: 0.5805
   -> Checkpoint Saved
Epoch 171 | Segmentation Dice Loss: 0.5777
Epoch 172 | Segmentation Dice Loss: 0.5766
Epoch 173 | Segmentation Dice Loss: 0.5746
Epoch 174 | Segmentation Dice Loss: 0.5741
Epoch 175 | Segmentation Dice Loss: 0.5725
Epoch 176 | Segmentation Dice Loss: 0.5717
Epoch 177 | Segmentation Dice Loss: 0.5693
Epoch 178 | Segmentation Dice Loss: 0.5684
Epoch 179 | Segmentation Dice Loss: 0.5654
Epoch 180 | Segmentation Dice Loss: 0.5642
   -> Checkpoint Saved
Epoch 181 | Segmentation Dice Loss: 0.5645
Epoch 182 | Segmentation Dice Loss: 0.5698
Epoch 183 | Segmentation Dice Loss: 0.5698
Epoch 184 | Segmentation Dice Loss: 0.5672
Epoch 185 | Segmentation Dice Loss: 0.5671
Epoch 186 | Segmentation Dice Loss: 0.5653
Epoch 187 | Segmentation Dice Loss: 0.5639
Epoch 188 | Segmentation Dice Loss: 0.5632
Epoch 189 | Segmentation Dice Loss: 0.5603
Epoch 190 | Segmentation Dice Loss: 0.5617
   -> Checkpoint Saved
Epoch 191 | Segmentation Dice Loss: 0.5575
Epoch 192 | Segmentation Dice Loss: 0.5549
Epoch 193 | Segmentation Dice Loss: 0.5524
Epoch 194 | Segmentation Dice Loss: 0.5544
Epoch 195 | Segmentation Dice Loss: 0.5518
Epoch 196 | Segmentation Dice Loss: 0.5499
Epoch 197 | Segmentation Dice Loss: 0.5472
Epoch 198 | Segmentation Dice Loss: 0.5452
Epoch 199 | Segmentation Dice Loss: 0.5439
Epoch 200 | Segmentation Dice Loss: 0.5441
   -> Checkpoint Saved
Epoch 201 | Segmentation Dice Loss: 0.5416
Epoch 202 | Segmentation Dice Loss: 0.5385
Epoch 203 | Segmentation Dice Loss: 0.5406
Epoch 204 | Segmentation Dice Loss: 0.5383
Epoch 205 | Segmentation Dice Loss: 0.5380
Epoch 206 | Segmentation Dice Loss: 0.5358
Epoch 207 | Segmentation Dice Loss: 0.5326
Epoch 208 | Segmentation Dice Loss: 0.5317
Epoch 209 | Segmentation Dice Loss: 0.5328
Epoch 210 | Segmentation Dice Loss: 0.5270
   -> Checkpoint Saved
Epoch 211 | Segmentation Dice Loss: 0.5265
Epoch 212 | Segmentation Dice Loss: 0.5264
Epoch 213 | Segmentation Dice Loss: 0.5215
Epoch 214 | Segmentation Dice Loss: 0.5200
Epoch 215 | Segmentation Dice Loss: 0.5256
Epoch 216 | Segmentation Dice Loss: 0.5210
Epoch 217 | Segmentation Dice Loss: 0.5173
Epoch 218 | Segmentation Dice Loss: 0.5167
Epoch 219 | Segmentation Dice Loss: 0.5159
Epoch 220 | Segmentation Dice Loss: 0.5120
   -> Checkpoint Saved
Epoch 221 | Segmentation Dice Loss: 0.5097
Epoch 222 | Segmentation Dice Loss: 0.5095
Epoch 223 | Segmentation Dice Loss: 0.5115
Epoch 224 | Segmentation Dice Loss: 0.5069
Epoch 225 | Segmentation Dice Loss: nan
Epoch 226 | Segmentation Dice Loss: nan
Epoch 227 | Segmentation Dice Loss: nan
Epoch 228 | Segmentation Dice Loss: nan
Epoch 229 | Segmentation Dice Loss: nan
Epoch 230 | Segmentation Dice Loss: nan
   -> Checkpoint Saved
Epoch 231 | Segmentation Dice Loss: nan
Epoch 232 | Segmentation Dice Loss: nan
