
--- Starting High-Throughput Training on cuda ---
✅ GPU Acceleration: Augmentation & TF32 Enabled
--- Fast 3D Loader Initialized (Train) ---
Data Loaded.
Model Loaded. Resuming from Epoch 730.
Epoch 731 | Segmentation Dice Loss: 0.2188
Epoch 732 | Segmentation Dice Loss: 0.2955
Epoch 733 | Segmentation Dice Loss: 0.2371
Epoch 734 | Segmentation Dice Loss: 0.2425
Epoch 735 | Segmentation Dice Loss: 0.2319
Epoch 736 | Segmentation Dice Loss: 0.2165
Epoch 737 | Segmentation Dice Loss: 0.2096
Epoch 738 | Segmentation Dice Loss: 0.2055
Epoch 739 | Segmentation Dice Loss: 0.2034
Epoch 740 | Segmentation Dice Loss: 0.2273
   -> Checkpoint Saved (Epoch 740)
Epoch 741 | Segmentation Dice Loss: 0.2107
Epoch 742 | Segmentation Dice Loss: 0.2120
Epoch 743 | Segmentation Dice Loss: 0.2089
Epoch 744 | Segmentation Dice Loss: 0.1992
Epoch 745 | Segmentation Dice Loss: 0.2060
Epoch 746 | Segmentation Dice Loss: 0.1959
Epoch 747 | Segmentation Dice Loss: 0.1922
Epoch 748 | Segmentation Dice Loss: 0.1920
Epoch 749 | Segmentation Dice Loss: 0.1949
Epoch 750 | Segmentation Dice Loss: 0.1897
   -> Checkpoint Saved (Epoch 750)
Epoch 751 | Segmentation Dice Loss: 0.1898
Epoch 752 | Segmentation Dice Loss: 0.1910
Epoch 753 | Segmentation Dice Loss: 0.1879
Epoch 754 | Segmentation Dice Loss: 0.1870
Epoch 755 | Segmentation Dice Loss: 0.1855
Epoch 756 | Segmentation Dice Loss: 0.1882
Epoch 757 | Segmentation Dice Loss: 0.1864
Epoch 758 | Segmentation Dice Loss: 0.1863
Epoch 759 | Segmentation Dice Loss: 0.1883
Epoch 760 | Segmentation Dice Loss: 0.1814
   -> Checkpoint Saved (Epoch 760)
Epoch 761 | Segmentation Dice Loss: 0.1904
Epoch 762 | Segmentation Dice Loss: 0.1798
Epoch 763 | Segmentation Dice Loss: 0.1776
Epoch 764 | Segmentation Dice Loss: 0.1811
Epoch 765 | Segmentation Dice Loss: 0.1814
Epoch 766 | Segmentation Dice Loss: 0.1772
Epoch 767 | Segmentation Dice Loss: 0.1786
Epoch 768 | Segmentation Dice Loss: 0.1768
Epoch 769 | Segmentation Dice Loss: 0.1773
Epoch 770 | Segmentation Dice Loss: 0.1754
   -> Checkpoint Saved (Epoch 770)
Epoch 771 | Segmentation Dice Loss: 0.1764
Epoch 772 | Segmentation Dice Loss: 0.1711
Epoch 773 | Segmentation Dice Loss: 0.1747
Epoch 774 | Segmentation Dice Loss: 0.1703
Epoch 775 | Segmentation Dice Loss: 0.1711
Epoch 776 | Segmentation Dice Loss: 0.1676
Epoch 777 | Segmentation Dice Loss: 0.1664
Epoch 778 | Segmentation Dice Loss: 0.1661
Epoch 779 | Segmentation Dice Loss: 0.1668
Epoch 780 | Segmentation Dice Loss: 0.1656
   -> Checkpoint Saved (Epoch 780)
Epoch 781 | Segmentation Dice Loss: 0.1710
Epoch 782 | Segmentation Dice Loss: 0.1657
Epoch 783 | Segmentation Dice Loss: 0.1632
Epoch 784 | Segmentation Dice Loss: 0.1714
Epoch 785 | Segmentation Dice Loss: 0.1657
Epoch 786 | Segmentation Dice Loss: 0.1607
Epoch 787 | Segmentation Dice Loss: 0.1599
Epoch 788 | Segmentation Dice Loss: 0.1606
Epoch 789 | Segmentation Dice Loss: 0.1580
Epoch 790 | Segmentation Dice Loss: 0.1577
   -> Checkpoint Saved (Epoch 790)
Epoch 791 | Segmentation Dice Loss: 0.1606
Epoch 792 | Segmentation Dice Loss: 0.1564
Epoch 793 | Segmentation Dice Loss: 0.1579
Epoch 794 | Segmentation Dice Loss: 0.1563
Epoch 795 | Segmentation Dice Loss: 0.1553
Epoch 796 | Segmentation Dice Loss: 0.1544
Epoch 797 | Segmentation Dice Loss: 0.1545
Epoch 798 | Segmentation Dice Loss: 0.1558
Epoch 799 | Segmentation Dice Loss: 0.1556
Epoch 800 | Segmentation Dice Loss: 0.1510
   -> Checkpoint Saved (Epoch 800)
Epoch 801 | Segmentation Dice Loss: 0.1497
Epoch 802 | Segmentation Dice Loss: 0.1509
Epoch 803 | Segmentation Dice Loss: 0.1492
Epoch 804 | Segmentation Dice Loss: 0.1500
Epoch 805 | Segmentation Dice Loss: 0.1491
Epoch 806 | Segmentation Dice Loss: 0.1557
Epoch 807 | Segmentation Dice Loss: 0.1481
Epoch 808 | Segmentation Dice Loss: 0.1480
Epoch 809 | Segmentation Dice Loss: 0.1488
Epoch 810 | Segmentation Dice Loss: 0.1488
   -> Checkpoint Saved (Epoch 810)
Epoch 811 | Segmentation Dice Loss: 0.1479
Epoch 812 | Segmentation Dice Loss: 0.1436
Epoch 813 | Segmentation Dice Loss: 0.1431
Epoch 814 | Segmentation Dice Loss: 0.1425
Epoch 815 | Segmentation Dice Loss: 0.1420
Epoch 816 | Segmentation Dice Loss: 0.1448
Epoch 817 | Segmentation Dice Loss: 0.1417
Epoch 818 | Segmentation Dice Loss: 0.1413
Epoch 819 | Segmentation Dice Loss: 0.1405
Epoch 820 | Segmentation Dice Loss: 0.1391
   -> Checkpoint Saved (Epoch 820)
Epoch 821 | Segmentation Dice Loss: 0.1395
Epoch 822 | Segmentation Dice Loss: 0.1440
Epoch 823 | Segmentation Dice Loss: 0.1403
Epoch 824 | Segmentation Dice Loss: 0.1383
Epoch 825 | Segmentation Dice Loss: 0.1378
Epoch 826 | Segmentation Dice Loss: 0.1414
Epoch 827 | Segmentation Dice Loss: 0.1357
Epoch 828 | Segmentation Dice Loss: 0.1372
Epoch 829 | Segmentation Dice Loss: 0.1350
Epoch 830 | Segmentation Dice Loss: 0.1384
   -> Checkpoint Saved (Epoch 830)
Epoch 831 | Segmentation Dice Loss: 0.1374
Epoch 832 | Segmentation Dice Loss: 0.1334
Epoch 833 | Segmentation Dice Loss: 0.1354
Epoch 834 | Segmentation Dice Loss: 0.1337
Epoch 835 | Segmentation Dice Loss: 0.1306
Epoch 836 | Segmentation Dice Loss: 0.1302
Epoch 837 | Segmentation Dice Loss: 0.1324
Epoch 838 | Segmentation Dice Loss: 0.1322
Epoch 839 | Segmentation Dice Loss: 0.1284
Epoch 840 | Segmentation Dice Loss: 0.1296
   -> Checkpoint Saved (Epoch 840)
Epoch 841 | Segmentation Dice Loss: 0.1306
Epoch 842 | Segmentation Dice Loss: 0.1283
Epoch 843 | Segmentation Dice Loss: 0.1283
Epoch 844 | Segmentation Dice Loss: 0.1278
Epoch 845 | Segmentation Dice Loss: 0.1271
Epoch 846 | Segmentation Dice Loss: 0.1261
Epoch 847 | Segmentation Dice Loss: 0.1253
Epoch 848 | Segmentation Dice Loss: 0.1243
Epoch 849 | Segmentation Dice Loss: 0.1257
Epoch 850 | Segmentation Dice Loss: 0.1240
   -> Checkpoint Saved (Epoch 850)
Epoch 851 | Segmentation Dice Loss: 0.1242
Epoch 852 | Segmentation Dice Loss: 0.1276
Epoch 853 | Segmentation Dice Loss: 0.1259
Epoch 854 | Segmentation Dice Loss: 0.1260
Epoch 855 | Segmentation Dice Loss: 0.1269
Epoch 856 | Segmentation Dice Loss: 0.1237
Epoch 857 | Segmentation Dice Loss: 0.1236
Epoch 858 | Segmentation Dice Loss: 0.1195
Epoch 859 | Segmentation Dice Loss: 0.1195
Epoch 860 | Segmentation Dice Loss: 0.1208
   -> Checkpoint Saved (Epoch 860)
Epoch 861 | Segmentation Dice Loss: 0.1189
Epoch 862 | Segmentation Dice Loss: 0.1264
Epoch 863 | Segmentation Dice Loss: 0.1173
Epoch 864 | Segmentation Dice Loss: 0.1205
Epoch 865 | Segmentation Dice Loss: 0.1171
Epoch 866 | Segmentation Dice Loss: 0.1157
Epoch 867 | Segmentation Dice Loss: 0.1165
Epoch 868 | Segmentation Dice Loss: 0.1153
Epoch 869 | Segmentation Dice Loss: 0.1222
Epoch 870 | Segmentation Dice Loss: 0.1173
   -> Checkpoint Saved (Epoch 870)
Epoch 871 | Segmentation Dice Loss: 0.1165
Epoch 872 | Segmentation Dice Loss: 0.1156
Epoch 873 | Segmentation Dice Loss: 0.1195
Epoch 874 | Segmentation Dice Loss: 0.1163
Epoch 875 | Segmentation Dice Loss: 0.1171
